client_start,master_receiveTimestamp,master_beforeSendRequestTimestamp,master_beforeSendBackTimestamp,slave_receiveTimestamp,slave_beforeSendBackTimestamp,client_get_response
23:30:24.975,22:30:33.386,22:30:33.387,22:30:33.438,22:30:33.435,22:30:33.437,23:30:25.139
23:30:25.851,22:30:34.199,22:30:34.199,22:30:34.206,22:30:34.204,22:30:34.204,23:30:25.903
23:30:26.850,22:30:35.255,22:30:35.256,22:30:35.309,22:30:35.304,22:30:35.305,23:30:27.006
23:30:27.851,22:30:36.251,22:30:36.252,22:30:36.302,22:30:36.300,22:30:36.301,23:30:28.000
23:30:28.851,22:30:37.256,22:30:37.257,22:30:37.306,22:30:37.304,22:30:37.304,23:30:29.003
23:30:29.851,22:30:38.255,22:30:38.256,22:30:38.304,22:30:38.301,22:30:38.302,23:30:30.002
23:30:30.851,22:30:39.198,22:30:39.199,22:30:39.254,22:30:39.245,22:30:39.246,23:30:30.953
23:30:31.851,22:30:40.198,22:30:40.199,22:30:40.246,22:30:40.244,22:30:40.244,23:30:31.942
23:30:32.852,22:30:41.201,22:30:41.202,22:30:41.257,22:30:41.248,22:30:41.249,23:30:32.956
23:30:33.853,22:30:42.261,22:30:42.261,22:30:42.310,22:30:42.308,22:30:42.308,23:30:34.008
23:30:34.853,22:30:43.255,22:30:43.255,22:30:43.304,22:30:43.300,22:30:43.300,23:30:35.002
23:30:35.856,22:30:44.205,22:30:44.206,22:30:44.253,22:30:44.252,22:30:44.253,23:30:35.951
23:30:36.856,22:30:45.284,22:30:45.284,22:30:45.334,22:30:45.328,22:30:45.328,23:30:37.032
23:30:37.857,22:30:46.209,22:30:46.209,22:30:46.258,22:30:46.256,22:30:46.257,23:30:37.955
23:30:38.857,22:30:47.260,22:30:47.260,22:30:47.310,22:30:47.308,22:30:47.309,23:30:39.008
23:30:39.858,22:30:48.264,22:30:48.264,22:30:48.310,22:30:48.308,22:30:48.308,23:30:40.007
23:30:40.858,22:30:49.262,22:30:49.264,22:30:49.314,22:30:49.312,22:30:49.313,23:30:41.011
23:30:41.858,22:30:50.208,22:30:50.210,22:30:50.258,22:30:50.256,22:30:50.256,23:30:41.956
23:30:42.859,22:30:51.221,22:30:51.222,22:30:51.269,22:30:51.268,22:30:51.268,23:30:42.968
23:30:43.858,22:30:52.208,22:30:52.209,22:30:52.257,22:30:52.256,22:30:52.256,23:30:43.956
23:30:44.858,22:30:53.207,22:30:53.207,22:30:53.253,22:30:53.252,22:30:53.252,23:30:44.952
23:30:45.858,22:30:54.208,22:30:54.210,22:30:54.216,22:30:54.213,22:30:54.214,23:30:45.913
23:30:46.858,22:30:55.206,22:30:55.207,22:30:55.214,22:30:55.213,22:30:55.213,23:30:46.911
23:30:47.858,22:30:56.207,22:30:56.208,22:30:56.262,22:30:56.260,22:30:56.261,23:30:47.960
23:30:48.858,22:30:57.221,22:30:57.222,22:30:57.269,22:30:57.268,22:30:57.268,23:30:48.967
23:30:49.858,22:30:58.205,22:30:58.206,22:30:58.254,22:30:58.252,22:30:58.253,23:30:49.952
23:30:50.858,22:30:59.207,22:30:59.208,22:30:59.213,22:30:59.211,22:30:59.212,23:30:50.911
23:30:51.858,22:31:00.206,22:31:00.206,22:31:00.256,22:31:00.252,22:31:00.255,23:30:51.953
23:30:52.858,22:31:01.218,22:31:01.219,22:31:01.266,22:31:01.264,22:31:01.264,23:30:52.963
23:30:53.859,22:31:02.207,22:31:02.207,22:31:02.254,22:31:02.252,22:31:02.252,23:30:53.951
23:30:54.860,22:31:03.221,22:31:03.222,22:31:03.230,22:31:03.226,22:31:03.228,23:30:54.926
23:30:55.859,22:31:04.207,22:31:04.208,22:31:04.258,22:31:04.256,22:31:04.256,23:30:55.956
23:30:56.859,22:31:05.263,22:31:05.264,22:31:05.311,22:31:05.308,22:31:05.311,23:30:57.010
23:30:57.859,22:31:06.209,22:31:06.210,22:31:06.213,22:31:06.212,22:31:06.213,23:30:57.913
23:30:58.860,22:31:07.217,22:31:07.218,22:31:07.265,22:31:07.264,22:31:07.264,23:30:58.962
23:30:59.860,22:31:08.210,22:31:08.212,22:31:08.259,22:31:08.256,22:31:08.257,23:30:59.956
23:31:00.860,22:31:09.271,22:31:09.273,22:31:09.278,22:31:09.276,22:31:09.276,23:31:00.977
23:31:01.860,22:31:10.263,22:31:10.264,22:31:10.310,22:31:10.308,22:31:10.308,23:31:02.006
23:31:02.861,22:31:11.211,22:31:11.214,22:31:11.261,22:31:11.260,22:31:11.260,23:31:02.960
23:31:03.861,22:31:12.313,22:31:12.313,22:31:12.361,22:31:12.360,22:31:12.361,23:31:04.058
23:31:04.861,22:31:13.209,22:31:13.209,22:31:13.261,22:31:13.256,22:31:13.256,23:31:04.959
23:31:05.861,22:31:14.268,22:31:14.268,22:31:14.324,22:31:14.320,22:31:14.320,23:31:06.021
23:31:06.861,22:31:15.211,22:31:15.212,22:31:15.266,22:31:15.264,22:31:15.265,23:31:06.965
23:31:07.861,22:31:16.267,22:31:16.268,22:31:16.313,22:31:16.312,22:31:16.312,23:31:08.018
23:31:08.861,22:31:17.268,22:31:17.268,22:31:17.314,22:31:17.312,22:31:17.313,23:31:09.011
23:31:09.861,22:31:18.210,22:31:18.211,22:31:18.257,22:31:18.256,22:31:18.256,23:31:09.955
23:31:10.862,22:31:19.210,22:31:19.212,22:31:19.262,22:31:19.260,22:31:19.261,23:31:10.960
23:31:11.863,22:31:20.211,22:31:20.212,22:31:20.261,22:31:20.260,22:31:20.260,23:31:11.958
23:31:12.863,22:31:21.220,22:31:21.220,22:31:21.270,22:31:21.267,22:31:21.268,23:31:12.967
23:31:13.863,22:31:22.267,22:31:22.268,22:31:22.313,22:31:22.312,22:31:22.312,23:31:14.010
23:31:14.863,22:31:23.216,22:31:23.218,22:31:23.273,22:31:23.272,22:31:23.272,23:31:14.971
23:31:15.863,22:31:24.227,22:31:24.228,22:31:24.277,22:31:24.276,22:31:24.276,23:31:15.974
23:31:16.863,22:31:25.267,22:31:25.269,22:31:25.313,22:31:25.312,22:31:25.312,23:31:17.009
23:31:17.864,22:31:26.237,22:31:26.237,22:31:26.285,22:31:26.284,22:31:26.284,23:31:17.981
23:31:18.864,22:31:27.213,22:31:27.214,22:31:27.265,22:31:27.264,22:31:27.264,23:31:18.963
23:31:19.864,22:31:28.211,22:31:28.211,22:31:28.219,22:31:28.218,22:31:28.219,23:31:19.916
23:31:20.864,22:31:29.213,22:31:29.213,22:31:29.261,22:31:29.260,22:31:29.260,23:31:20.957
23:31:21.864,22:31:30.212,22:31:30.213,22:31:30.265,22:31:30.264,22:31:30.265,23:31:21.962
23:31:22.864,22:31:31.274,22:31:31.275,22:31:31.321,22:31:31.320,22:31:31.321,23:31:23.018
23:31:23.864,22:31:32.267,22:31:32.268,22:31:32.319,22:31:32.312,22:31:32.313,23:31:24.017
23:31:24.864,22:31:33.213,22:31:33.218,22:31:33.222,22:31:33.221,22:31:33.221,23:31:24.919
23:31:25.864,22:31:34.213,22:31:34.214,22:31:34.263,22:31:34.260,22:31:34.260,23:31:25.959
23:31:26.864,22:31:35.226,22:31:35.227,22:31:35.278,22:31:35.272,22:31:35.274,23:31:26.975
23:31:27.864,22:31:36.235,22:31:36.235,22:31:36.281,22:31:36.280,22:31:36.280,23:31:27.977
23:31:28.865,22:31:37.268,22:31:37.268,22:31:37.320,22:31:37.316,22:31:37.316,23:31:29.017
23:31:29.865,22:31:38.266,22:31:38.267,22:31:38.316,22:31:38.312,22:31:38.315,23:31:30.011
23:31:30.865,22:31:39.213,22:31:39.213,22:31:39.265,22:31:39.264,22:31:39.264,23:31:30.962
23:31:31.866,22:31:40.214,22:31:40.215,22:31:40.261,22:31:40.260,22:31:40.260,23:31:31.958
23:31:32.866,22:31:41.271,22:31:41.271,22:31:41.317,22:31:41.316,22:31:41.316,23:31:33.014
23:31:33.866,22:31:42.215,22:31:42.215,22:31:42.222,22:31:42.221,22:31:42.221,23:31:33.918
23:31:34.866,22:31:43.218,22:31:43.218,22:31:43.265,22:31:43.264,22:31:43.264,23:31:34.961
23:31:35.867,22:31:44.215,22:31:44.215,22:31:44.261,22:31:44.260,22:31:44.260,23:31:35.957
23:31:36.866,22:31:45.215,22:31:45.216,22:31:45.265,22:31:45.264,22:31:45.264,23:31:36.962
23:31:37.866,22:31:46.214,22:31:46.214,22:31:46.263,22:31:46.260,22:31:46.260,23:31:37.960
23:31:38.866,22:31:47.218,22:31:47.218,22:31:47.265,22:31:47.264,22:31:47.265,23:31:38.962
23:31:39.866,22:31:48.272,22:31:48.272,22:31:48.317,22:31:48.316,22:31:48.316,23:31:40.014
23:31:40.866,22:31:49.213,22:31:49.214,22:31:49.261,22:31:49.260,22:31:49.260,23:31:40.957
23:31:41.866,22:31:50.218,22:31:50.219,22:31:50.265,22:31:50.264,22:31:50.264,23:31:41.962
23:31:42.866,22:31:51.224,22:31:51.226,22:31:51.275,22:31:51.272,22:31:51.272,23:31:42.971
23:31:43.866,22:31:52.320,22:31:52.322,22:31:52.369,22:31:52.368,22:31:52.368,23:31:44.066
23:31:44.866,22:31:53.214,22:31:53.214,22:31:53.261,22:31:53.260,22:31:53.260,23:31:44.959
23:31:45.867,22:31:54.215,22:31:54.216,22:31:54.261,22:31:54.260,22:31:54.260,23:31:45.957
23:31:46.867,22:31:55.216,22:31:55.216,22:31:55.265,22:31:55.264,22:31:55.264,23:31:46.962
23:31:47.867,22:31:56.237,22:31:56.237,22:31:56.285,22:31:56.284,22:31:56.284,23:31:47.984
23:31:48.867,22:31:57.271,22:31:57.271,22:31:57.321,22:31:57.320,22:31:57.320,23:31:49.018
23:31:49.868,22:31:58.217,22:31:58.217,22:31:58.261,22:31:58.260,22:31:58.260,23:31:49.961
23:31:50.868,22:31:59.214,22:31:59.215,22:31:59.261,22:31:59.260,22:31:59.260,23:31:50.957
23:31:51.869,22:32:00.271,22:32:00.271,22:32:00.317,22:32:00.316,22:32:00.316,23:31:52.013
23:31:52.870,22:32:01.241,22:32:01.242,22:32:01.289,22:32:01.288,22:32:01.288,23:31:52.986
23:31:53.870,22:32:02.218,22:32:02.219,22:32:02.266,22:32:02.264,22:32:02.265,23:31:53.963
