Id,Start Master,Commit Master,Start Slave,Commit Slave,End Master,Staleness (Commit Slave – Commit Master),Latency (End Master – Commit Master)
1,22:37:48.118,22:37:48.122,22:37:48.242,22:37:48.245,22:37:48.248,00:00:00.123,00:00:00.126
2,22:37:48.932,22:37:48.932,22:37:48.942,22:37:48.943,22:37:48.944,00:00:00.011,00:00:00.012
3,22:37:49.874,22:37:49.875,22:37:49.924,22:37:49.924,22:37:49.925,00:00:00.049,00:00:00.050
4,22:37:50.887,22:37:50.889,22:37:50.936,22:37:50.937,22:37:50.940,00:00:00.048,00:00:00.051
5,22:37:51.877,22:37:51.877,22:37:51.928,22:37:51.929,22:37:51.930,00:00:00.052,00:00:00.053
6,22:37:52.875,22:37:52.876,22:37:52.924,22:37:52.924,22:37:52.926,00:00:00.048,00:00:00.050
7,22:37:53.884,22:37:53.886,22:37:53.937,22:37:53.937,22:37:53.940,00:00:00.051,00:00:00.054
8,22:37:54.881,22:37:54.881,22:37:54.895,22:37:54.895,22:37:54.900,00:00:00.014,00:00:00.019
9,22:37:55.931,22:37:55.932,22:37:55.988,22:37:55.988,22:37:55.990,00:00:00.056,00:00:00.058
10,22:37:56.875,22:37:56.876,22:37:56.928,22:37:56.929,22:37:56.931,00:00:00.053,00:00:00.055
11,22:37:57.877,22:37:57.877,22:37:57.883,22:37:57.886,22:37:57.886,00:00:00.009,00:00:00.009
12,22:37:58.943,22:37:58.944,22:37:58.951,22:37:58.952,22:37:58.953,00:00:00.008,00:00:00.009
13,22:37:59.935,22:37:59.936,22:37:59.984,22:37:59.984,22:37:59.986,00:00:00.048,00:00:00.050
14,22:38:00.935,22:38:00.936,22:38:00.943,22:38:00.944,22:38:00.948,00:00:00.008,00:00:00.012
15,22:38:01.931,22:38:01.932,22:38:01.980,22:38:01.980,22:38:01.982,00:00:00.048,00:00:00.050
16,22:38:02.936,22:38:02.936,22:38:02.984,22:38:02.986,22:38:02.987,00:00:00.050,00:00:00.051
17,22:38:03.944,22:38:03.944,22:38:03.996,22:38:03.997,22:38:03.999,00:00:00.053,00:00:00.055
18,22:38:04.936,22:38:04.937,22:38:04.988,22:38:04.988,22:38:04.989,00:00:00.051,00:00:00.052
19,22:38:05.879,22:38:05.881,22:38:05.932,22:38:05.932,22:38:05.933,00:00:00.051,00:00:00.052
20,22:38:06.935,22:38:06.935,22:38:06.984,22:38:06.984,22:38:06.985,00:00:00.049,00:00:00.050
21,22:38:07.878,22:38:07.879,22:38:07.928,22:38:07.928,22:38:07.929,00:00:00.049,00:00:00.050
22,22:38:08.943,22:38:08.943,22:38:08.992,22:38:08.992,22:38:08.995,00:00:00.049,00:00:00.052
23,22:38:10.096,22:38:10.097,22:38:10.148,22:38:10.148,22:38:10.151,00:00:00.051,00:00:00.054
24,22:38:10.879,22:38:10.879,22:38:10.928,22:38:10.928,22:38:10.934,00:00:00.049,00:00:00.055
25,22:38:11.893,22:38:11.894,22:38:11.944,22:38:11.944,22:38:11.947,00:00:00.050,00:00:00.053
26,22:38:12.885,22:38:12.890,22:38:12.944,22:38:12.944,22:38:12.946,00:00:00.054,00:00:00.056
27,22:38:13.903,22:38:13.904,22:38:13.952,22:38:13.952,22:38:13.953,00:00:00.048,00:00:00.049
28,22:38:14.882,22:38:14.883,22:38:14.890,22:38:14.890,22:38:14.896,00:00:00.007,00:00:00.013
29,22:38:15.880,22:38:15.881,22:38:15.928,22:38:15.931,22:38:15.933,00:00:00.050,00:00:00.052
30,22:38:16.882,22:38:16.882,22:38:16.928,22:38:16.929,22:38:16.930,00:00:00.047,00:00:00.048
31,22:38:17.882,22:38:17.882,22:38:17.932,22:38:17.933,22:38:17.934,00:00:00.051,00:00:00.052
32,22:38:18.882,22:38:18.883,22:38:18.890,22:38:18.891,22:38:18.894,00:00:00.008,00:00:00.011
33,22:38:19.881,22:38:19.885,22:38:19.891,22:38:19.893,22:38:19.897,00:00:00.008,00:00:00.012
34,22:38:20.883,22:38:20.883,22:38:20.932,22:38:20.933,22:38:20.934,00:00:00.050,00:00:00.051
