Id,ClientStart,MasterStart,MasterCommit,ClientEnd,SlaveStart,SlaveCommit,MasterEnd,Latency (ClientEnd – ClientStart),Staleness (SlaveCommit – MasterCommit)
1,13:56:06.055,13:56:06.253,13:56:06.257,13:56:06.242,13:56:06.348,13:56:06.351,13:56:06.388,00:00:00.187,00:00:00.094
2,13:56:06.901,13:56:07.072,13:56:07.073,13:56:07.054,13:56:07.090,13:56:07.090,13:56:07.125,00:00:00.153,00:00:00.017
3,13:56:07.901,13:56:08.074,13:56:08.074,13:56:08.056,13:56:08.090,13:56:08.090,13:56:08.125,00:00:00.155,00:00:00.016
4,13:56:08.901,13:56:09.206,13:56:09.207,13:56:09.225,13:56:09.222,13:56:09.222,13:56:09.260,00:00:00.324,00:00:00.015
5,13:56:09.901,13:56:10.101,13:56:10.102,13:56:10.083,13:56:10.080,13:56:10.081,13:56:10.115,00:00:00.182,23:59:59.979
6,13:56:10.901,13:56:11.074,13:56:11.075,13:56:11.056,13:56:11.090,13:56:11.090,13:56:11.132,00:00:00.155,00:00:00.015
7,13:56:11.901,13:56:12.123,13:56:12.124,13:56:12.123,13:56:12.138,13:56:12.140,13:56:12.175,00:00:00.222,00:00:00.016
8,13:56:12.902,13:56:13.112,13:56:13.113,13:56:13.094,13:56:13.090,13:56:13.091,13:56:13.126,00:00:00.192,23:59:59.978
9,13:56:13.901,13:56:14.116,13:56:14.116,13:56:14.098,13:56:14.134,13:56:14.135,13:56:14.169,00:00:00.197,00:00:00.019
10,13:56:14.901,13:56:15.076,13:56:15.077,13:56:15.058,13:56:15.051,13:56:15.052,13:56:15.087,00:00:00.157,23:59:59.975
11,13:56:15.902,13:56:16.073,13:56:16.073,13:56:16.055,13:56:16.090,13:56:16.090,13:56:16.125,00:00:00.153,00:00:00.017
12,13:56:16.903,13:56:17.140,13:56:17.140,13:56:17.169,13:56:17.158,13:56:17.158,13:56:17.193,00:00:00.266,00:00:00.018
13,13:56:17.901,13:56:18.111,13:56:18.112,13:56:18.092,13:56:18.126,13:56:18.126,13:56:18.161,00:00:00.191,00:00:00.014
