ClientStart,MasterStart,MasterCommit,MasterBackToClient,SlaveStart,SlaveCommit,ClientEnd,Latency (ClientEnd – ClientStart),Staleness (SlaveCommit – MasterCommit)
13:52:29.769,13:52:29.980,13:52:29.984,13:52:30.107,13:52:30.069,13:52:30.073,13:52:30.094,00:00:00.325,00:00:00.089
13:52:30.616,13:52:30.809,13:52:30.810,13:52:30.863,13:52:30.828,13:52:30.833,13:52:30.847,00:00:00.231,00:00:00.023
13:52:31.616,13:52:31.825,13:52:31.826,13:52:31.874,13:52:31.844,13:52:31.844,13:52:31.859,00:00:00.243,00:00:00.018
13:52:32.616,13:52:32.767,13:52:32.768,13:52:32.820,13:52:32.786,13:52:32.787,13:52:32.804,00:00:00.188,00:00:00.019
13:52:33.616,13:52:33.878,13:52:33.879,13:52:33.885,13:52:33.854,13:52:33.854,13:52:33.913,00:00:00.297,23:59:59.975
13:52:34.616,13:52:34.770,13:52:34.771,13:52:34.776,13:52:34.745,13:52:34.745,13:52:34.762,00:00:00.146,23:59:59.974
13:52:35.617,13:52:35.768,13:52:35.773,13:52:35.823,13:52:35.790,13:52:35.791,13:52:35.807,00:00:00.190,00:00:00.018
13:52:36.617,13:52:36.781,13:52:36.782,13:52:36.833,13:52:36.798,13:52:36.799,13:52:36.818,00:00:00.201,00:00:00.017
13:52:37.617,13:52:37.746,13:52:37.747,13:52:37.751,13:52:37.720,13:52:37.721,13:52:37.734,00:00:00.117,23:59:59.974
13:52:38.618,13:52:38.741,13:52:38.741,13:52:38.790,13:52:38.758,13:52:38.759,13:52:38.775,00:00:00.157,00:00:00.018
13:52:39.617,13:52:39.740,13:52:39.740,13:52:39.793,13:52:39.762,13:52:39.762,13:52:39.777,00:00:00.160,00:00:00.022
13:52:40.621,13:52:40.777,13:52:40.778,13:52:40.826,13:52:40.794,13:52:40.794,13:52:40.810,00:00:00.189,00:00:00.016
13:52:41.618,13:52:41.768,13:52:41.769,13:52:41.817,13:52:41.786,13:52:41.786,13:52:41.800,00:00:00.182,00:00:00.017
13:52:42.617,13:52:42.740,13:52:42.740,13:52:42.793,13:52:42.758,13:52:42.758,13:52:42.777,00:00:00.160,00:00:00.018
13:52:43.617,13:52:43.784,13:52:43.784,13:52:43.832,13:52:43.802,13:52:43.802,13:52:43.816,00:00:00.199,00:00:00.018
